job_title,company_name,job_location,job_link
Blueprism Developer,EXPL,"Mumbai, Maharashtra",https://in.indeed.com/company/ADR-Group/jobs/Developer-befa90f083c9d73d?fccid=9669a196093386e2&vjs=3
RPA Developer (Blue Prism),Computronics Systems India Private Limited,"Indore, Madhya Pradesh",https://in.indeed.com/company/Computronics-System-(-India)-Pvt.-Ltd/jobs/Developer-407a499777d3aee5?fccid=d6be7e727555720f&vjs=3
Automation Developer,EY,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=db28b006e291d88f&fccid=1544766d4c2915b0&vjs=3
RPA Developer,Recbots,"Chennai, Tamil Nadu",https://in.indeed.com/company/Recbots/jobs/Developer-f483518e3a04b156?fccid=410ed023d47a516d&vjs=3
Assc Cslt Automation Developer,Northern Trust Corp.,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=a3d172b6c4c1ef86&fccid=659d7ed1b53f4cd4&vjs=3
RPA DEVELOPER,SpanIdea Systems,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=d67f2676e3b9c956&fccid=0d33eb8110cc8c07&vjs=3
RPA Developer - Blueprism,Han Digital,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=4e4f020d50ba5c43&fccid=f9bab99fb477909e&vjs=3
Associate Consultant- RTA-Intelligent Automation,KPMG,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=759d1b3970826cc7&fccid=2dd390c3a48a7ed0&vjs=3
RPA Developer,Equiniti,"Chennai, Tamil Nadu",https://in.indeed.com/rc/clk?jk=ff11c5da41ec4463&fccid=5b82a3be2eb39d4b&vjs=3
RPA Ui path developer,Cognizant Technology Solutions India Pvt Ltd,"Bengaluru, Karnataka",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNTNxGxQTAgtmG8fmffF8AgY4MVe4WNtJcAaSUJA5W20gTdG8Ppz3dJX1iWmBXYRd4WjiMYnGPtkLxht5ImwR4aBK93RvsoTJsTKa3efwtuBxd_NdPZg0ZgxJx9Tv1cdpxv-kjy-P_vpH1ddVm7b0ncCdkJAZMMvjU06ZG9YiNP6jgFdSVRWfF7-CW5dqq9xVjDqZNm9AKf3500CThasEoa33vKH6Wo1wTJDgZZ7Wdcf2M0UPcGez7AXikYGftdVNudGd9AivQK7IiVb6Y_k8oF23dkIGbUcl0o1qjiBAgP2ZtHal43uk-H3QXfilYpy1YseZdNKE841sxKvvB6dih3sORjGgGINRGOlbcu6OaE1DjRIp5Q9K65KFcLaX3YEFx26FNnno-OCegEmzmpAk-ZTSGL6YVma1a43IkNUeZYP8xfqT_PlAC7cLYZYsurEeCGTqEMxbMsl2O-o9rzfcJ82KEzyO_CphRGzeIDfiFRAZQlLcH9S81p5QyJ1yh3tgO8koQoMt9RZEeVCNiUMXh2dyjDi-gf7KcnkgmmtfGbNJTY0JVmdFjtSpDDryxdcEZ7lP50XTZdnsvDjZCZ4TKwfcpYLcCa8oGSBm0YwTtU81DxN10Fw5sHsLwGHslcrnu-qvA4tL4OKfrE87dJTChSYgt8RCnevFiWmgYYb2eeNOiCNaosbhZhGk6337GJsFs8nsWgHDrSJRIZUBcMpGR0J8k4BitAxtskzP0cGYDCKM8bkyy6RB96zns0Tvz8azg2U3EM0Cbaki5xQI-mJqHEV_775Lyx0UCXIoZw3KFFvoa_UmkPe0qPYaIiZgVEeeOjZVXbnasCxMQFuKrsfaA35bkW59h27jeCGDhk8VncMHyHkryD-BpSL4A-XsKvvSFZwmvOxw_StIOS7T_N8MqV_vQ2FFlVehDm-fjOlLinI-EyxMQr4lyvE7ojoedFsiqyq30OIP8h6YFrfu2FwgTgwItX6Kzu58CFXWdpTwQ-He&xkcb=SoDC-_M3QxcqXhwNKh0CbzkdCdPP&p=9&fvj=0&vjs=3
RPA Blueprism Developer,SA Technologies Inc.,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=19bf22fbd98339cf&fccid=93b45e4a90733734&vjs=3
BluePrism - RPA Developer,iOPEX Technologies,"Chennai, Tamil Nadu",https://in.indeed.com/rc/clk?jk=ae2155a243c5aea8&fccid=4ddf45fe1e950ac5&vjs=3
Project Manager – RPA,HiringSign,Remote,https://in.indeed.com/rc/clk?jk=e6d80f15d85d199f&fccid=8d7a87896efc2722&vjs=3
Microsoft Robotic Process Automation Application Developer,Accenture,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=bb6e2ac1adf63efe&fccid=a4e4e2eaf26690c9&vjs=3
Technology-Process Manager-Software Services - RPA,Eclerx,India,https://in.indeed.com/rc/clk?jk=a75c829b3897d2d1&fccid=e6a2604cd4491b02&vjs=3
